UF;Rodovia;km inicial;km final;Extensão (km);Data;Latitude;Longitude;Observação;ICC;ICP;ICM
RJ;BR-040;12,00;11,000;1,000;13/01/2022;-22,4179609;-43,1379473;;20,000;5,000;9,500
RJ;BR-040;11,00;10,000;1,000;13/01/2022;-22,4424133;-43,1409067;;20,000;0,000;6,000
RJ;BR-040;10,00;9,000;1,000;13/01/2022;-22,4584776;-43,1439245;;52,500;0,000;15,750
RJ;BR-040;9,00;8,000;1,000;13/01/2022;-22,4656503;-43,1498331;;52,500;0,000;15,750
RJ;BR-040;8,00;7,000;1,000;13/01/2022;-22,4721929;-43,1526525;;47,500;0,000;14,250
RJ;BR-040;7,00;6,000;1,000;13/01/2022;-22,4737669;-43,1577508;;32,500;0,000;9,750
RJ;BR-040;6,00;5,000;1,000;13/01/2022;-22,4742181;-43,1618467;;32,500;0,000;9,750
RJ;BR-040;5,00;4,000;1,000;13/01/2022;-22,4758979;-43,1693418;;32,500;0,000;9,750
RJ;BR-040;4,00;3,000;1,000;13/01/2022;-22,4779799;-43,1730775;;32,500;0,000;9,750
RJ;BR-040;3,00;2,000;1,000;13/01/2022;-22,4780966;-43,1730984;;25,000;0,000;7,500
RJ;BR-040;2,00;1,000;1,000;13/01/2022;-22,4787215;-43,1730833;;25,000;0,000;7,500
MT;BR-364;392,00;391;1;24/01/2022;-15,6701203;-55,95165;;27,5;5;11,75
MT;BR-364;383,00;382;1;24/01/2022;-15,699285;-55,8924919;;37,5;0;11,25
MT;BR-364;368,00;367;1;24/01/2022;-15,7041162;-55,7414919;;37,5;25;28,75
MT;BR-364;350,85;349;1,85;24/01/2022;-15,7973646;-55,6045621;;52,5;5;19,25
MT;BR-364;348,00;347;1;24/01/2022;-15,7968015;-55,5924482;;27,5;0;8,25
MT;BR-364;347,00;346;1;24/01/2022;-15,7968015;-55,5924482;;52,5;0;15,75
MT;BR-364;314,00;313;1;24/01/2022;-15,8096932;-55,3057194;;52,5;20;29,75
MT;BR-364;310,00;309;1;24/01/2022;-15,8111372;-55,2655634;;52,5;12,5;24,5
MT;BR-364;308,00;307;1;24/01/2022;-15,8128441;-55,2548826;;52,5;5;19,25
MT;BR-364;295,00;294;1;24/01/2022;-15,8273771;-55,1912646;Final do snv 364BMT 0725 DECRESCENTE;52,5;12,5;24,5
MT;BR-364;274,00;273;1;24/01/2022;-15,9244058;-55,0238697;;30;35;33,5
MT;BR-364;270,30;269;1,3;24/01/2022;-15,9703153;-54,9577328;;30;50;44
MT;BR-364;263,00;262;1;24/01/2022;-16,0095291;-54,9145951;;42,5;47,5;46
MT;BR-364;253,00;252;1;24/01/2022;-16,0840409;-54,8716033;;52,5;35;40,25
MT;BR-364;240,00;239;1;24/01/2022;-16,1784844;-54,789437;;52,5;62,5;59,5
MT;BR-364;235,00;234;1;24/01/2022;-16,2134341;-54,7791252;;52,5;35;40,25
MT;BR-364;223,00;222;1;24/01/2022;-16,267355;-54,7739558;;52,5;35;40,25
MT;BR-364;218,00;217;1;24/01/2022;-16,336627;-54,7464699;;52,5;20;29,75
